Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.04,,609,Eritrea,,,708,"$706,370,812",0.045,$7,,0.058,0,,58,54,,1,0.47,0.512,0.018,3939348,0.176,"$36,000,000",
0.044,,5831,Ethiopia,,,25242,"$8,091,384,891",0.043,$5,,0.09,0,0.109,53,51,0,1,0.466,0.503,0.031,66024199,0.147,"$205,000,000","$80,000,000"
0.034,,1052,Gabon,,,1463,"$5,067,865,503",0.029,$118,,0.056,0,0.22,61,59,0.1,1,0.406,0.535,0.059,1225527,0.801,"$99,000,000","$183,000,000"
0.045,,275,"Gambia, The",,,,"$782,913,866",0.045,$29,,0.063,0,0.24,56,54,0,1,0.459,0.514,0.027,1228863,0.479,,
0.035,,6289,Ghana,,,7736,"$4,982,849,054",0.048,$13,,0.065,0,,58,56,0,1,0.414,0.556,0.03,18825034,0.439,"$357,000,000","$162,000,000"
0.042,,1280,Guinea,,,,"$2,995,360,969",0.056,$19,,0.103,0,0.194,51,51,0,1,0.44,0.525,0.034,8746128,0.31,"$7,800,000","$13,000,000"
0.042,,147,Guinea-Bissau,,,,"$361,858,968",0.049,$16,,0.109,0,,53,50,,1,0.435,0.534,0.031,1273312,0.367,,
0.039,,10418,Kenya,,,14055,"$12,705,350,153",0.047,$19,,0.069,0,0.223,54,52,0,1,0.442,0.531,0.028,31285050,0.199,"$500,000,000","$156,000,000"
0.031,,,Lesotho,,,,"$771,200,632",0.069,$29,,0.081,0,0.171,48,47,0,1,0.412,0.543,0.045,1856225,0.195,"$18,000,000","$195,000,000"
0.043,,436,Liberia,,,,"$529,064,647",0.059,$11,,0.119,0,0.205,53,52,0,1,0.432,0.537,0.031,2891968,0.443,,
0.022,,47114,Libya,,,15901,"$33,896,600,871",0.034,$252,,0.024,0,0.07,74,70,0,1,0.333,0.628,0.039,5176185,0.763,"$84,000,000","$495,000,000"
0.041,,1874,Madagascar,,,,"$3,877,673,635",0.05,$12,,0.071,0,0.265,60,57,0,1,0.455,0.515,0.03,15744811,0.271,"$152,000,000","$139,000,000"
0.045,,906,Malawi,,,,"$1,743,506,287",0.061,$9,,0.103,0,0.531,46,46,0,1,0.458,0.511,0.031,11321496,0.146,"$29,000,000","$53,000,000"
0.048,,543,Mali,,,,"$2,422,482,318",0.063,$16,,0.116,0,,49,49,0,1,0.461,0.504,0.035,10260577,0.284,"$47,000,000","$66,000,000"
0.038,,1236,Mauritania,,,,"$1,293,653,473",0.06,$24,,0.076,0,0.256,61,58,0,1,0.428,0.54,0.032,2708095,0.492,,
0.017,,2769,Mauritius,,,,"$4,582,562,398",0.037,$146,,0.016,0.1,0.208,75,68,0.2,1,0.258,0.681,0.061,1186873,0.427,"$732,000,000","$203,000,000"
0.022,,33905,Morocco,,,10238,"$37,020,609,825",0.042,$54,,0.043,0,0.133,70,67,0.1,1,0.341,0.613,0.047,28710123,0.533,"$2,280,000,000","$506,000,000"
0.044,,1349,Mozambique,,,7173,"$4,310,090,791",0.062,$15,,0.114,0,0.19,49,46,0,1,0.438,0.53,0.032,18275618,0.291,"$74,000,000","$122,000,000"
0.032,,1643,Namibia,,,978,"$3,908,645,566",0.061,$126,,0.049,0,0.153,57,53,0,1,0.405,0.562,0.033,1897953,0.324,"$193,000,000","$86,000,000"
0.053,,796,Niger,,,,"$1,798,374,533",0.064,$10,,0.101,0,,51,51,0,1,0.479,0.495,0.025,10989815,0.162,"$23,000,000","$32,000,000"
0.043,,79182,Nigeria,,,90596,"$46,385,996,027",0.046,$17,,0.113,0,0.213,47,46,0,1,0.435,0.537,0.028,122876727,0.348,"$186,000,000","$610,000,000"
0.041,,686,Rwanda,,,,"$1,734,938,190",0.042,$9,,0.108,0,0.17,49,47,0,1,0.466,0.505,0.03,8395577,0.149,"$27,000,000","$35,000,000"
0.036,,48,Sao Tome and Principe,,,,"$76,709,305",0.089,$46,,0.058,0,0.397,65,62,,1,0.44,0.52,0.04,139428,0.534,"$9,900,000","$2,200,000"
0.04,,3938,Senegal,,,2398,"$4,679,604,922",0.046,$22,,0.069,0,,59,56,0,1,0.451,0.517,0.032,9861679,0.403,"$152,000,000","$125,000,000"
0.019,,565,Seychelles,,,,"$614,877,971",0.048,$371,,0.012,0.1,0.107,,,0.3,1,0.282,0.637,0.081,81131,0.501,"$225,000,000","$44,000,000"
0.044,,425,Sierra Leone,,,,"$635,874,002",0.184,$28,,0.141,0,0.263,39,37,0,1,0.43,0.546,0.025,4139757,0.356,"$10,000,000","$35,000,000"
0.049,,517,Somalia,,,,,,,,0.105,0,,52,49,0,1,0.472,0.499,0.029,7385416,0.332,,
0.024,,368611,South Africa,,,109264,"$132,877,640,158",0.083,$246,,0.052,0.1,0.145,58,54,0.2,1,0.33,0.636,0.034,44000000,0.569,"$3,338,000,000","$2,684,000,000"
0.043,,,South Sudan,,,,,,,,0.11,,,50,48,,1,0.447,0.523,0.03,6652984,0.165,,
0.04,,5534,Sudan,,,13340,"$12,257,299,163",0.034,$15,,0.069,0,,60,56,0,1,0.437,0.533,0.03,27729798,0.325,"$5,000,000","$55,000,000"
0.033,,1188,Swaziland,,,,"$1,524,490,159",0.053,$75,,0.08,0,0.14,49,48,0,1,0.446,0.524,0.029,1063715,0.227,"$24,000,000","$32,000,000"
0.042,,2651,Tanzania,,,13390,"$10,185,786,171",0.034,$10,,0.08,0,0.216,51,49,0,1,0.448,0.523,0.029,34020512,0.223,"$381,000,000","$369,000,000"
0.039,,1357,Togo,,,2111,"$1,294,250,280",0.053,$14,,0.077,0,,54,53,0,1,0.442,0.529,0.029,4864753,0.329,"$11,000,000","$15,000,000"
0.017,,19923,Tunisia,,,7306,"$21,473,188,882",0.054,$123,,0.026,0,,75,71,0,1,0.298,0.641,0.06,9563500,0.634,"$1,977,000,000","$310,000,000"
0.048,,1533,Uganda,,,,"$6,193,246,632",0.066,$16,,0.089,0,0.229,48,48,0,1,0.493,0.481,0.027,24275641,0.121,"$165,000,000",
0.045,,1819,Zambia,,,6244,"$3,253,551,750",0.056,$18,,0.1,0,0.388,42,42,0,1,0.457,0.515,0.027,10100981,0.348,"$67,000,000","$102,000,000"
0.032,,13887,Zimbabwe,,,9865,"$6,689,957,610",,,,0.061,0,0.682,44,44,0,1,0.422,0.545,0.034,12503652,0.338,"$125,000,000",
0.05,,781,Afghanistan,,,,,,,,0.095,,,56,54,,1,0.495,0.485,0.02,20595360,0.213,,
0.013,,3465,Armenia,,,2015,"$1,911,563,665",0.063,$39,,0.027,0,0.316,75,68,0,1,0.259,0.641,0.1,3076098,0.647,"$52,000,000","$56,000,000"
0.015,,29508,Azerbaijan,,,11296,"$5,272,617,196",0.047,$30,,0.061,0,0.197,70,64,0.1,1,0.311,0.633,0.056,8048600,0.514,"$68,000,000","$138,000,000"
0.027,,27869,Bangladesh,,,18591,"$47,124,925,462",0.028,$10,,0.064,0,0.155,66,65,0,1,0.37,0.59,0.041,132383265,0.236,"$50,000,000","$471,000,000"
0.028,,400,Bhutan,,,,"$439,158,233",0.067,$52,,0.059,0,0.16,60,60,,1,0.406,0.556,0.038,564350,0.254,"$10,000,000",
0.023,,6527,Brunei Darussalam,,,2385,"$6,001,153,318",0.03,$543,,0.008,0.1,0.055,78,74,0.3,1,0.304,0.668,0.028,331801,0.712,,
0.028,,1977,Cambodia,,,3412,"$3,654,031,716",0.063,$19,,0.082,0,,65,59,0,1,0.408,0.554,0.038,12222871,0.186,"$345,000,000","$52,000,000"
0.014,,3405180,China,,,1161353,"$1,198,474,937,925",0.046,$43,,0.03,0,0.059,74,71,0.1,1,0.256,0.675,0.069,1262645000,0.359,"$17,318,000,000","$14,169,000,000"
0.012,,4536,Georgia,,,2869,"$3,057,453,461",0.069,$45,,0.031,0,0.247,75,68,0,1,0.219,0.656,0.125,4418300,0.526,"$107,000,000","$129,000,000"
0.008,,40465,"Hong Kong SAR, China",,,13392,"$171,668,164,083",,,,,0.3,0.095,84,78,0.8,1,0.173,0.717,0.11,6665000,1,"$8,198,000,000","$12,502,000,000"
0.026,,1186663,India,,,457198,"$476,609,148,166",0.043,$20,,0.067,0,0.123,63,61,0,1,0.342,0.614,0.044,1042261758,0.277,"$3,598,000,000","$3,686,000,000"
0.022,,263419,Indonesia,,,154768,"$165,021,012,262",0.02,$15,,0.041,0,0.185,69,65,0,1,0.307,0.647,0.047,208938698,0.42,"$4,975,000,000","$3,197,000,000"
0.009,,1219589,Japan,,,518964,"$4,731,198,760,271",0.076,"$2,834",,0.003,0.3,0.021,85,78,0.5,1,0.146,0.682,0.172,126870000,0.786,"$5,970,000,000","$42,643,000,000"
0.015,,127769,Kazakhstan,,,35679,"$18,291,990,619",0.042,$52,,0.038,0,,71,60,0,1,0.277,0.655,0.068,14883626,0.557,"$403,000,000","$483,000,000"
0.018,,76699,"Korea, Dem. Rep.",,,19717,,,,,0.045,,,69,61,,1,0.26,0.681,0.059,22840225,0.594,,
0.013,,447561,"Korea, Rep.",,,188161,"$561,633,037,420",0.043,$491,,0.005,0.4,0.085,80,72,0.6,1,0.21,0.717,0.073,47008111,0.796,"$8,527,000,000","$7,945,000,000"
0.02,,4529,Kyrgyz Republic,,,2317,"$1,369,691,955",0.047,$13,,0.042,0,0.519,72,65,0,1,0.35,0.596,0.055,4898400,0.353,"$20,000,000","$28,000,000"
0.031,,972,Lao PDR,,,,"$1,731,198,022",0.033,$11,,0.083,0,0.32,63,60,0,1,0.435,0.529,0.036,5388281,0.22,"$114,000,000","$8,000,000"
0.009,,1635,"Macao SAR, China",,,,"$6,101,794,939",,,,,0.1,0.099,80,75,0.3,1,0.228,0.698,0.074,431907,1,"$3,205,000,000",
0.023,,126603,Malaysia,,,47110,"$93,789,473,684",0.03,$120,,0.009,0.2,0.077,75,71,0.2,1,0.333,0.628,0.038,23420751,0.62,"$5,873,000,000","$2,543,000,000"
0.025,,499,Maldives,,,,"$624,337,144",0.071,$162,,0.035,0,0.13,70,69,0,1,0.413,0.549,0.038,272745,0.277,"$321,000,000","$60,000,000"
0.019,,7506,Mongolia,,,2397,"$1,136,896,162",0.047,$22,,0.049,0,0.37,66,60,0.1,1,0.348,0.615,0.037,2397473,0.571,"$43,000,000","$54,000,000"
0.021,,10088,Myanmar,,,12841,,0.021,$3,,0.059,,0.153,64,60,0,1,0.307,0.645,0.047,48453000,0.27,"$195,000,000","$30,000,000"
0.033,,3234,Nepal,,,8108,"$5,494,252,208",0.05,$12,,0.06,0,0.095,63,61,0,1,0.404,0.558,0.038,23184177,0.134,"$219,000,000","$109,000,000"
0.031,,106449,Pakistan,,,64067,"$73,952,374,970",0.03,$15,,0.088,,,65,63,0,1,0.415,0.546,0.039,143832014,0.332,"$551,000,000","$574,000,000"
0.03,,73307,Philippines,,,39872,"$81,026,294,681",0.032,$33,,0.03,0,0.109,70,64,0.1,1,0.385,0.583,0.032,77651848,0.48,"$2,334,000,000","$1,841,000,000"
0.012,,49006,Singapore,,,18692,"$95,835,970,989",0.027,$662,,0.003,0.4,0.058,80,76,0.7,1,0.215,0.712,0.073,4027900,1,"$5,142,000,000","$4,535,000,000"
0.018,,10161,Sri Lanka,,,8327,"$16,330,810,304",0.037,$32,,0.014,0,0.162,75,68,0,1,0.269,0.669,0.063,19102000,0.184,"$388,000,000","$383,000,000"
0.03,,2237,Tajikistan,,,2149,"$860,550,294",0.046,$6,,0.075,0,0.256,68,60,0,1,0.429,0.536,0.035,6186152,0.265,,
0.015,,188355,Thailand,,,72284,"$122,725,247,706",0.034,$67,,0.019,0,0.078,75,67,0,1,0.242,0.693,0.066,62343379,0.314,"$9,935,000,000","$3,218,000,000"
0.043,,,Timor-Leste,,,,"$350,100,000",0.051,$19,,0.084,,,61,58,,1,0.498,0.479,0.024,853585,0.243,,
0.024,,35365,Turkmenistan,,,14871,"$2,904,662,605",0.039,$44,,0.066,0,,68,60,0,1,0.363,0.594,0.043,4501419,0.459,,
0.021,,119951,Uzbekistan,,,50757,"$13,760,374,488",0.053,$29,,0.053,0,,70,64,0,1,0.373,0.584,0.043,24650400,0.374,"$63,000,000",
0.017,,53645,Vietnam,,,28736,"$33,640,085,728",0.053,$20,,0.027,0,0.106,78,69,0,1,0.316,0.62,0.064,77630900,0.244,,
0.019,,3022,Albania,,,1763,"$3,686,649,387",0.064,$70,,0.023,0,0.221,77,71,0,1,0.303,0.628,0.068,3089027,0.417,"$398,000,000","$290,000,000"
0.011,,524,Andorra,,,,"$1,133,644,295",0.062,"$1,330",,0.004,0.1,,,,0.4,1,,,,65399,0.924,,
0.01,,63696,Austria,,,28558,"$192,070,749,954",0.1,"$2,403",,0.005,0.3,,81,75,0.8,1,0.17,0.675,0.155,8011566,0.658,"$11,382,000,000","$7,001,000,000"
0.009,,53469,Belarus,,,24695,"$12,736,856,485",0.061,$64,,0.011,0,0.677,75,63,0,1,0.186,0.679,0.134,10005000,0.7,"$188,000,000","$247,000,000"
0.011,,115709,Belgium,,,58508,"$232,672,747,374",0.081,"$1,845",,0.005,0.3,0.08,81,75,0.5,1,0.176,0.655,0.169,10251250,0.971,"$6,592,000,000","$9,429,000,000"
0.01,,23223,Bosnia and Herzegovina,,,4346,"$5,505,984,456",0.071,$103,,0.008,0,0.305,77,72,0,1,0.202,0.691,0.107,3834364,0.393,"$246,000,000","$92,000,000"
0.009,,43531,Bulgaria,,,18688,"$12,903,546,765",0.062,$98,,0.018,0.1,0.113,75,68,0.1,1,0.157,0.677,0.166,8170172,0.689,"$1,364,000,000","$764,000,000"
0.01,,19644,Croatia,,,7790,"$21,517,784,659",0.078,$377,,0.007,0.1,0.121,77,69,0.2,1,0.172,0.673,0.156,4426000,0.556,"$2,871,000,000","$634,000,000"
0.013,,6850,Cyprus,,,2137,"$9,314,937,556",0.058,$744,,0.006,0.2,0.08,80,76,0.2,1,0.224,0.674,0.102,943287,0.686,"$2,137,000,000","$543,000,000"
0.009,,124649,Czech Republic,,,40993,"$58,807,244,368",0.063,$361,,0.006,0.1,0.072,78,72,0.4,1,0.165,0.697,0.138,10255063,0.74,"$2,973,000,000","$1,276,000,000"
0.013,,47260,Denmark,,,18634,"$160,082,517,846",0.087,"$2,613",,0.005,0.4,0.081,79,74,0.6,1,0.185,0.667,0.149,5339616,0.851,"$3,671,000,000","$4,669,000,000"
0.01,,15181,Estonia,,,4715,"$5,675,697,575",0.053,$213,,0.009,0.3,0.074,76,65,0.4,1,0.18,0.669,0.152,1396985,0.694,"$657,000,000","$253,000,000"
,,711,Faeroe Islands,,,,"$1,062,339,944",,,,,0.3,,82,76,0.4,1,,,,46491,0.363,,
0.011,,52141,Finland,,,32233,"$121,793,808,734",0.072,"$1,700",,0.004,0.4,0.056,81,74,0.7,1,0.182,0.669,0.149,5176209,0.822,"$2,035,000,000","$2,293,000,000"
0.013,,365560,France,,,251981,"$1,326,334,438,917",0.101,"$2,209",,0.004,0.1,0.067,83,75,0.5,1,0.189,0.65,0.16,60911057,0.759,"$38,534,000,000","$26,703,000,000"
0.009,,829978,Germany,,,336584,"$1,886,401,326,700",0.104,"$2,387",,0.004,0.3,0.096,81,75,0.6,1,0.156,0.681,0.163,82211508,0.731,"$24,943,000,000","$57,601,000,000"
0.01,,91616,Greece,,,27086,"$124,418,163,928",0.079,$918,,0.007,0.1,0.123,81,75,0.5,1,0.152,0.68,0.168,10917482,0.727,"$9,262,000,000","$4,564,000,000"
0.01,,57238,Hungary,,,24999,"$46,385,589,534",0.072,$326,,0.01,0.1,0.126,76,67,0.3,1,0.168,0.68,0.151,10210971,0.646,"$3,809,000,000","$1,722,000,000"
0.014,,2164,Iceland,,,3100,"$8,697,298,234",0.095,"$2,961",,0.003,0.4,0.168,82,78,0.8,1,0.233,0.651,0.116,281205,0.924,"$386,000,000","$471,000,000"
0.014,,41345,Ireland,,,13574,"$97,331,522,066",0.061,"$1,572",,0.006,0.2,0.048,79,74,0.6,1,0.218,0.67,0.112,3805174,0.591,"$3,517,000,000","$2,626,000,000"
,,,Isle of Man,,,,"$1,563,667,800",,,,,,,,,,1,,,,76806,0.518,,
0.01,,451441,Italy,,,171522,"$1,104,009,462,562",0.079,"$1,527",,0.005,0.2,0.07,83,77,0.7,1,0.143,0.674,0.183,56942108,0.672,"$28,706,000,000","$18,169,000,000"
0.023,,,Kosovo,,,1545,"$1,849,196,082",,,,,,,70,66,,1,,,,1700000,,,
0.009,,6241,Latvia,,,3832,"$7,833,068,425",0.06,$197,,0.015,0.1,0.119,76,65,0.2,1,0.179,0.671,0.15,2367550,0.681,"$172,000,000","$281,000,000"
0.013,,,Liechtenstein,,,,"$2,483,890,594",,,,,0.4,,80,74,0.3,1,,,,33093,0.151,,
0.01,,12200,Lithuania,,,7131,"$11,434,200,000",0.065,$212,,0.01,0.1,0.121,78,67,0.2,1,0.199,0.662,0.139,3499536,0.67,"$430,000,000","$261,000,000"
0.013,,8240,Luxembourg,,,3335,"$20,267,551,133",0.075,"$3,495",,0.004,0.2,,81,75,0.7,1,0.189,0.67,0.141,436300,0.842,"$1,686,000,000","$1,309,000,000"
0.013,,12064,"Macedonia, FYR",,,2668,"$3,586,883,989",0.087,$153,,0.014,0,0.189,76,71,0.1,1,0.224,0.676,0.1,2052129,0.585,"$88,000,000","$58,000,000"
0.012,,2065,Malta,,,676,"$3,957,418,083",0.066,$643,,0.007,0.1,0.073,80,76,0.3,1,0.207,0.686,0.107,381363,0.924,"$731,000,000","$224,000,000"
0.012,,3513,Moldova,,,2883,"$1,288,420,223",0.067,$24,,0.025,0,0.338,71,63,0,1,0.237,0.663,0.1,3639592,0.458,"$57,000,000","$86,000,000"
,,,Monaco,,,,"$2,647,883,820",0.033,"$2,685",,0.004,0.4,,,,0.4,1,,,,32081,1,,
0.013,,,Montenegro,,,,"$984,279,596",0.075,$121,,0.013,,,77,71,,1,0.213,0.673,0.113,611196,0.585,,
0.013,,165363,Netherlands,,,73223,"$385,074,626,866",0.08,"$1,932",,0.005,0.4,0.048,81,76,0.7,1,0.186,0.679,0.136,15925513,0.768,"$11,285,000,000","$13,649,000,000"
0.013,,38808,Norway,,,26092,"$168,288,531,891",0.091,"$3,432",,0.004,0.5,0.089,81,76,0.7,1,0.2,0.648,0.152,4490967,0.761,"$2,521,000,000","$4,893,000,000"
0.01,,301691,Poland,,,89116,"$171,276,118,424",0.055,$247,,0.008,0.1,0.2,78,70,0.2,1,0.194,0.684,0.123,38258629,0.617,"$6,128,000,000","$3,417,000,000"
0.012,,62966,Portugal,,,24673,"$117,299,520,914",0.093,"$1,070",,0.006,0.2,,80,73,0.6,1,0.162,0.676,0.162,10289898,0.544,"$6,027,000,000","$2,754,000,000"
0.01,,89985,Romania,,,36228,"$37,305,099,928",0.043,$72,,0.023,0,0.539,75,68,0.1,1,0.186,0.68,0.134,22442971,0.53,"$394,000,000","$447,000,000"
0.009,,1558112,Russian Federation,,,619265,"$259,708,496,267",0.054,$96,,0.02,0,0.244,72,59,0,1,0.182,0.694,0.124,146596870,0.734,"$3,429,000,000","$8,848,000,000"
,,,San Marino,,,,"$773,907,642",0.053,"$2,161",,0.005,0.5,0.092,84,77,0.5,1,,,,26969,0.934,,
0.01,,,Serbia,,,13728,"$6,082,791,506",0.074,$51,,0.011,,0.063,75,70,,1,0.202,0.669,0.129,7516346,0.532,,
0.01,,37312,Slovak Republic,,,17743,"$28,724,041,828",0.055,$208,,0.01,0.1,0.149,77,69,0.2,1,0.197,0.689,0.114,5388720,0.562,"$441,000,000","$341,000,000"
0.009,,14265,Slovenia,,,6413,"$19,979,467,790",0.083,$831,,0.005,0.2,0.158,79,72,0.6,1,0.159,0.7,0.141,1988925,0.508,"$1,016,000,000","$544,000,000"
0.01,,294434,Spain,,,121856,"$580,345,494,748",0.072,"$1,045",,0.005,0.1,0.052,83,76,0.6,1,0.148,0.684,0.169,40263216,0.763,"$32,656,000,000","$7,710,000,000"
0.01,,49794,Sweden,,,47556,"$247,260,155,858",0.082,"$2,282",,0.003,0.5,0.058,82,77,0.7,1,0.184,0.643,0.173,8872109,0.84,"$4,825,000,000","$8,959,000,000"
0.011,,39050,Switzerland,,,25005,"$256,042,925,982",0.099,"$3,541",,0.005,0.5,0.043,83,77,0.6,1,0.174,0.673,0.153,7184250,0.733,"$8,988,000,000","$7,360,000,000"
0.021,,216148,Turkey,,,76348,"$266,567,532,726",0.049,$196,,0.034,0,,74,66,0.3,1,0.307,0.634,0.06,63174483,0.647,"$7,636,000,000","$1,713,000,000"
0.008,,320774,Ukraine,,,133794,"$31,261,527,363",0.056,$36,,0.016,0,0.415,74,62,0,1,0.175,0.688,0.138,49175848,0.671,"$563,000,000","$561,000,000"
0.012,,543662,United Kingdom,,,222940,"$1,493,628,385,535",0.07,"$1,761",,0.006,0.3,0.06,80,75,0.7,1,0.19,0.652,0.158,58892514,0.787,"$29,978,000,000","$47,009,000,000"
0.021,,18643,Bahrain,,,5865,"$9,063,147,901",0.035,$476,,0.011,0.1,0.116,76,74,0.3,1,0.308,0.667,0.024,668239,0.884,"$854,000,000","$425,000,000"
0.019,,372703,"Iran, Islamic Rep.",,,122983,"$101,286,514,977",0.046,$231,,0.029,0,,71,69,0,1,0.347,0.611,0.042,65911052,0.64,"$677,000,000","$671,000,000"
0.036,,72445,Iraq,,,25937,,0.008,$7,,0.036,,,73,69,,1,0.428,0.537,0.035,23801156,0.685,"$2,000,000","$9,000,000"
0.022,,62691,Israel,,,18234,"$124,895,151,203",0.074,"$1,454",,0.006,0.2,0.128,81,77,0.7,1,0.281,0.619,0.1,6289000,0.912,"$4,611,000,000","$3,733,000,000"
0.031,,15508,Jordan,,,4864,"$8,457,923,945",0.097,$171,,0.023,0,0.118,73,70,0.1,1,0.394,0.575,0.031,4797000,0.798,"$935,000,000","$387,000,000"
0.024,,55181,Kuwait,,,18805,"$37,718,011,469",0.025,$494,,0.011,0.1,0.089,74,72,0.3,1,0.257,0.712,0.031,1906231,0.981,"$394,000,000","$2,852,000,000"
0.019,,15354,Lebanon,,,4907,"$17,260,364,842",0.109,$579,,0.017,0.1,0.182,76,73,0.2,1,0.286,0.643,0.071,3235380,0.86,"$742,000,000",
0.024,,21896,Oman,,,8083,"$19,867,880,550",0.031,$264,,0.014,0,0.101,74,70,0.1,1,0.372,0.605,0.023,2192535,0.716,"$377,000,000","$629,000,000"
0.019,,34730,Qatar,,,10876,"$17,759,889,598",0.022,$652,,0.011,0,,78,76,0.2,1,0.259,0.724,0.017,593693,0.963,"$128,000,000","$307,000,000"
0.027,,296935,Saudi Arabia,,,101325,"$188,441,864,875",0.042,$398,,0.019,0,,74,71,0.1,1,0.384,0.581,0.035,20144584,0.798,,
0.03,,51048,Syrian Arab Republic,,,15765,"$19,325,894,913",0.049,$59,,0.02,0,0.09,75,72,0,1,0.408,0.558,0.034,16371208,0.519,"$1,082,000,000","$669,000,000"
0.017,,112562,United Arab Emirates,,,33944,"$104,337,375,343",0.022,$752,,0.01,0.2,0.097,75,73,0.5,1,0.254,0.736,0.01,3026352,0.802,"$1,063,000,000","$3,019,000,000"
0.039,,14639,"Yemen, Rep.",,,4747,"$9,636,342,275",0.041,$25,,0.069,0,0.195,62,59,0,1,0.486,0.485,0.029,17522537,0.263,"$73,000,000","$127,000,000"
,,,American Samoa,,,,,,,,,,,,,0,1,,,,57522,0.886,,
0.013,,329605,Australia,,,108110,"$415,208,189,412",0.081,"$1,713",,0.005,0.5,0.093,82,77,0.4,1,0.207,0.669,0.124,19153000,0.872,"$13,016,000,000","$8,780,000,000"
0.025,,865,Fiji,,,,"$1,684,109,743",0.039,$80,,0.021,0,0.084,70,65,0.1,1,0.351,0.615,0.034,811647,0.479,"$291,000,000","$96,000,000"
0.02,,631,French Polynesia,,,,"$3,447,543,138",,,,,0.1,,75,70,0.2,1,0.318,0.64,0.043,237267,0.561,,
0.022,,,Guam,,,,,,,,,0.2,,78,73,0.2,1,0.305,0.642,0.054,155328,0.931,,
0.029,,33,Kiribati,,,,"$67,512,715",0.079,$65,,0.054,0,,68,62,0,1,0.399,0.567,0.034,82788,0.43,"$2,700,000",
,,77,Marshall Islands,,,,"$110,937,729",0.225,$466,,0.034,0,,68,63,0,1,,,,52161,0.684,"$3,000,000","$200,000"
